BHK,Price,Location,Area,Furnishing,Tenant_Pref,Full_Title,Page_Found
2 BHK,"₹30,000 /month",Gaur City 7th Avenue,"1,165 sqft(108 sqm)",Furnished,Not Specified,"2 BHK Flat for rent in Sector 4, Greater Noida West",75
3 BHK,"₹20,500 /month",Habitech Panchtatva,"1,525 sqft(142 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Techzone 4 Greater Noida West, Greater Noida",75
N/A,₹3 Lac /month,"Jaypee Greens, Greater Noida","4,500 sqft(418 sqm)",Semi-Furnished,Not Specified,"5 Bedroom House for rent in Jaypee Greens, Greater Noida",75
3 BHK,"₹32,000 /month",Nirala Aspire,"1,710 sqft(159 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Sector 16, Greater Noida",75
2 BHK,"₹21,000 /month",Nirala Aspire,"1,065 sqft(99 sqm)",Semi-Furnished,Not Specified,"2 BHK Flat for rent in Sector 16, Greater Noida",75
N/A,"₹17,000 /month",Habitech Panchtatva,580 sqft(54 sqm),Furnished,Not Specified,"Studio Apartments / 1 RK Flats for rent in Techzone 4 Greater Noida West, Greater Noida",75
2 BHK,"₹23,000 /month",Saviour Greenarch,"1,135 sqft(105 sqm)",N/A,Not Specified,"2 BHK Flat for rent in Techzone 4 Greater Noida West, Greater Noida",75
2 BHK,"₹22,500 /month",Mahagun Mantraa 2,"1,025 sqft(95 sqm)",N/A,Not Specified,"2 BHK Flat for rent in Sector 10 Greater Noida West, Greater Noida",76
2 BHK,"₹27,000 /month",Gulshan Bellina,"1,105 sqft(103 sqm)",N/A,Not Specified,"2 BHK Flat for rent in Sector 16, Greater Noida",76
3 BHK,"₹29,000 /month",Nirala Aspire,"1,840 sqft(171 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Sector 16, Greater Noida",76
N/A,"₹50,000 /month","Block M Delta 3, Greater Noida","4,843 sqft(450 sqm)",N/A,Not Specified,"3 Bedroom House for rent in Block M Delta 3, Greater Noida",76
3 BHK,"₹19,999 /month",Mahagun Mywoods Phase 2,"1,520 sqft(141 sqm)",Semi-Furnished,Not Specified,"3 BHK Flat for rent in Sector 16C, Greater Noida",76
2 BHK,"₹26,000 /month",Gaur City 2 14th Avenue,855 sqft(79 sqm),Furnished,Not Specified,"2 BHK Flat for rent in Sector 16C, Greater Noida",76
2 BHK,"₹23,000 /month",Panchsheel Greens 2,"1,350 sqft(125 sqm)",Furnished,Not Specified,"2 BHK Flat for rent in Sector 16, Greater Noida",76
3 BHK,"₹27,000 /month",Panchsheel Greens 2,"1,510 sqft(140 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Sector 16, Greater Noida",76
3 BHK,"₹24,000 /month",Gaur City 2 14th Avenue,"1,375 sqft(128 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Sector 16C, Greater Noida",76
2 BHK,"₹26,000 /month",Mahagun Mywoods Phase 2,"1,110 sqft(103 sqm)",Furnished,Not Specified,"2 BHK Flat for rent in Sector 16C, Greater Noida",76
3 BHK,"₹23,000 /month",Gaur City 2 14th Avenue,"1,300 sqft(121 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Sector 16C, Greater Noida",76
2 BHK,"₹28,000 /month",Gaur City 2 14th Avenue,"1,040 sqft(97 sqm)",N/A,Not Specified,"2 BHK Flat for rent in Sector 16C, Greater Noida",76
2 BHK,"₹22,000 /month",Pigeon Spring Meadows,970 sqft(90 sqm),Furnished,Not Specified,"2 BHK Flat for rent in Techzone 4 Greater Noida West, Greater Noida",76
3 BHK,"₹28,000 /month",Purvanchal Royal City,"1,825 sqft(170 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Sector Chi 5, Greater Noida",76
2 BHK,"₹22,000 /month",NBCC Leisure Park,"1,225 sqft(114 sqm)",N/A,Not Specified,"2 BHK Flat for rent in Techzone 4 Greater Noida West, Greater Noida",76
2 BHK,"₹17,999 /month",Mahagun Mywoods Phase 2,"1,000 sqft(93 sqm)",Semi-Furnished,Not Specified,"2 BHK Flat for rent in Sector 16C, Greater Noida",76
2 BHK,"₹19,000 /month",Amrapali Centurian Park,990 sqft(92 sqm),N/A,Not Specified,"2 BHK Flat for rent in Techzone 4 Greater Noida West, Greater Noida",76
2 BHK,"₹25,000 /month",SKA Greenarch,"1,000 sqft(93 sqm)",Furnished,Not Specified,"2 BHK Flat for rent in Sector 16B, Greater Noida",76
2 BHK,"₹19,000 /month",Trident Embassy,990 sqft(92 sqm),N/A,Not Specified,2 BHK Flat for rent in Sector 1 Greater Noida West,76
3 BHK,"₹25,000 /month",Coco County,"1,152 sqft(107 sqm)",Semi-Furnished,Not Specified,"3 BHK Flat for rent in Sector 10 Greater Noida West, Greater Noida",76
3 BHK,"₹35,000 /month",Gaur Saundaryam,"1,650 sqft(153 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Techzone 4 Greater Noida West, Greater Noida",76
4 BHK,"₹43,000 /month",ABA Cherry County,"2,232 sqft(207 sqm)",N/A,Not Specified,"4 BHK Flat for rent in Techzone 4 Greater Noida West, Greater Noida",76
3 BHK,"₹25,400 /month",ABA Cherry County,"1,521 sqft(141 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Techzone 4 Greater Noida West, Greater Noida",76
3 BHK,"₹28,001 /month",ABA Cherry County,"1,521 sqft(141 sqm)",Furnished,Not Specified,"3 BHK Flat for rent in Techzone 4 Greater Noida West, Greater Noida",76
3 BHK,"₹26,300 /month",ABA Cherry County,"1,521 sqft(141 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Techzone 4 Greater Noida West, Greater Noida",76
4 BHK,"₹34,000 /month",ABA Cherry County,"2,232 sqft(207 sqm)",N/A,Not Specified,"4 BHK Flat for rent in Techzone 4 Greater Noida West, Greater Noida",77
3 BHK,"₹23,000 /month",ABA Cherry County,"1,206 sqft(112 sqm)",Semi-Furnished,Not Specified,"3 BHK Flat for rent in Techzone 4 Greater Noida West, Greater Noida",77
3 BHK,"₹22,700 /month",ABA Cherry County,"1,206 sqft(112 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Techzone 4 Greater Noida West, Greater Noida",77
2 BHK,"₹20,000 /month",Fusion Homes Techzone 4 Greater Noida West,925 sqft(86 sqm),N/A,Not Specified,"2 BHK Flat for rent in Techzone 4 Greater Noida West, Greater Noida",77
3 BHK,"₹25,100 /month",ABA Cherry County,"1,521 sqft(141 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Techzone 4 Greater Noida West, Greater Noida",77
3 BHK,"₹22,300 /month",ABA Cherry County,"1,206 sqft(112 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Techzone 4 Greater Noida West, Greater Noida",77
3 BHK,"₹26,200 /month",ABA Cherry County,"1,521 sqft(141 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Techzone 4 Greater Noida West, Greater Noida",77
2 BHK,"₹23,000 /month",Supertech Eco Village 1,890 sqft(83 sqm),Furnished,Not Specified,"2 BHK Flat for rent in Greater Noida West, Greater Noida",77
4 BHK,"₹30,000 /month",CGEWHO Phase 1,"2,100 sqft(195 sqm)",N/A,Family Preferred,"4 BHK Flat for rent in Sector P4, Greater Noida",77
3 BHK,"₹25,000 /month",CGEWHO Phase 1,"1,480 sqft(138 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Sector P4, Greater Noida",77
N/A,"₹50,000 /month",Godrej Golf Link Park Lane,"2,276 sqft(211 sqm)",N/A,Not Specified,"4 Bedroom House for rent in Sector 27, Greater Noida",77
2 BHK,"₹16,000 /month",Amrapali Enchante,700 sqft(65 sqm),N/A,Not Specified,"2 BHK Flat for rent in Techzone 4 Greater Noida West, Greater Noida",77
N/A,"₹65,000 /month",Godrej Golf Links Crest,"2,359 sqft(219 sqm)",N/A,Not Specified,"4 Bedroom House for rent in Sector 27, Greater Noida",77
N/A,"₹75,000 /month",Godrej Golf Link Park Lane,"2,276 sqft(211 sqm)",Furnished,Not Specified,"4 Bedroom House for rent in Sector 27, Greater Noida",77
3 BHK,"₹24,000 /month",Supertech Ecovillage 2,"1,464 sqft(136 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Sector 16B, Greater Noida",77
2 BHK,"₹18,500 /month",Supertech Ecovillage 2,890 sqft(83 sqm),N/A,Not Specified,"2 BHK Flat for rent in Sector 16B, Greater Noida",77
2 BHK,"₹19,000 /month",Supertech Ecovillage 2,"1,106 sqft(103 sqm)",N/A,Not Specified,"2 BHK Flat for rent in Sector 16B, Greater Noida",77
2 BHK,"₹19,000 /month",Supertech Ecovillage 2,"1,100 sqft(102 sqm)",N/A,Not Specified,"2 BHK Flat for rent in Sector 16B, Greater Noida",77
2 BHK,"₹19,000 /month",Supertech Ecovillage 2,890 sqft(83 sqm),N/A,Not Specified,"2 BHK Flat for rent in Sector 16B, Greater Noida",77
3 BHK,"₹22,000 /month",Supertech Ecovillage 2,"1,265 sqft(118 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Sector 16B, Greater Noida",77
2 BHK,"₹16,000 /month",Supertech Ecovillage 2,725 sqft(67 sqm),N/A,Not Specified,"2 BHK Flat for rent in Sector 16B, Greater Noida",77
2 BHK,"₹18,500 /month",Supertech Ecovillage 2,750 sqft(70 sqm),N/A,Not Specified,"2 BHK Flat for rent in Sector 16B, Greater Noida",77
2 BHK,"₹19,000 /month",Mahagun Mywoods Phase 2,"1,100 sqft(102 sqm)",N/A,Not Specified,"2 BHK Flat for rent in Sector 16C, Greater Noida",77
3 BHK,"₹23,000 /month",Amrapali Centurian Park,"1,700 sqft(158 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Techzone 4 Greater Noida West, Greater Noida",77
2 BHK,"₹23,501 /month",Gaur City 7th Avenue,"1,075 sqft(100 sqm)",N/A,Not Specified,"2 BHK Flat for rent in Sector 4, Greater Noida West",77
2 BHK,"₹23,000 /month",Gaur City 7th Avenue,"1,075 sqft(100 sqm)",N/A,Not Specified,"2 BHK Flat for rent in Sector 4, Greater Noida West",78
3 BHK,"₹31,000 /month",Aspire Nirala Low rise,"1,596 sqft(148 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Sector 16, Greater Noida",78
2 BHK,"₹26,000 /month",Galaxy North Avenue 2,"1,175 sqft(109 sqm)",Furnished,Not Specified,2 BHK Flat for rent in Noida Extension,78
3 BHK,"₹22,500 /month",Mahagun Mywoods Phase 2,"1,520 sqft(141 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Sector 16C, Greater Noida",78
2 BHK,"₹16,500 /month",Amrapali Dream Valley High Life 2,805 sqft(75 sqm),N/A,Not Specified,2 BHK Flat for rent in Noida Extension,78
2 BHK,"₹27,000 /month",Radhey Krishna Casa Greens 1,"1,050 sqft(98 sqm)",Furnished,Not Specified,"2 BHK Flat for rent in Sector 16, Greater Noida",78
2 BHK,"₹19,000 /month",Supertech Ecovillage 2,"1,106 sqft(103 sqm)",N/A,Not Specified,"2 BHK Flat for rent in Sector 16B, Greater Noida",78
2 BHK,"₹19,000 /month",Amrapali Golf Homes,945 sqft(88 sqm),N/A,Not Specified,"2 BHK Flat for rent in Sector 4, Greater Noida West",78
3 BHK,"₹36,000 /month",Radhey Krishna Casa Greens 1,"1,490 sqft(138 sqm)",Furnished,Not Specified,"3 BHK Flat for rent in Sector 16, Greater Noida",78
3 BHK,"₹42,000 /month",Aastha Greens,"1,874 sqft(174 sqm)",Furnished,Not Specified,"3 BHK Flat for rent in Sector 4, Greater Noida West",78
3 BHK,"₹20,000 /month",Amrapali Terrace Homes,"1,185 sqft(110 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Techzone 4 Greater Noida West, Greater Noida",78
3 BHK,"₹25,000 /month",Amrapali Centurian Park,"1,675 sqft(156 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Techzone 4 Greater Noida West, Greater Noida",78
3 BHK,"₹21,000 /month",Amrapali Golf Homes,"1,425 sqft(132 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Sector 4, Greater Noida West",78
3 BHK,"₹29,000 /month",Panchsheel Greens 2,"1,820 sqft(169 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Sector 16, Greater Noida",78
3 BHK,"₹30,000 /month",Apex Alphabet,"1,629 sqft(151 sqm)",N/A,Not Specified,3 BHK Flat for rent in Sector 1 Greater Noida West,78
N/A,"₹14,200 /month",Supertech Czar Suites,487 sqft(45 sqm),Furnished,Not Specified,"Studio Apartments / 1 RK Flats for rent in Sector Omicron 1, Greater Noida",78
2 BHK,"₹19,000 /month",Casa Woodstock,"1,060 sqft(98 sqm)",N/A,Not Specified,"2 BHK Flat for rent in Sector 16C, Greater Noida",78
3 BHK,"₹34,000 /month",Irish Pearls,"1,590 sqft(148 sqm)",N/A,Not Specified,3 BHK Flat for rent in Sector 1 Greater Noida West,78
3 BHK,"₹28,000 /month",Ace City,"1,530 sqft(142 sqm)",N/A,Not Specified,3 BHK Flat for rent in Sector 1 Greater Noida West,78
2 BHK,"₹29,000 /month",Gulshan Bellina,"1,020 sqft(95 sqm)",Furnished,Not Specified,"2 BHK Flat for rent in Sector 16, Greater Noida",78
3 BHK,"₹23,000 /month",Sam Palm Olympia,"1,335 sqft(124 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Sector 16C, Greater Noida",78
1 BHK,"₹16,100 /month",Supertech Czar Suites,535 sqft(50 sqm),Fully Furnished,Not Specified,"1 BHK Flat for rent in Sector Omicron 1, Greater Noida",78
1 BHK,"₹15,900 /month",Supertech Czar Suites,535 sqft(50 sqm),Furnished,Not Specified,"1 BHK Flat for rent in Sector Omicron 1, Greater Noida",78
3 BHK,"₹44,000 /month",Hawelia Valencia Homes,"1,640 sqft(152 sqm)",Furnished,Not Specified,3 BHK Flat for rent in Sector 1 Greater Noida West,78
N/A,"₹30,000 /month",Amrapali Dream Valley Villas,"1,690 sqft(157 sqm)",N/A,Not Specified,"3 Bedroom House for rent in Greater Noida West, Greater Noida",78
3 BHK,"₹20,600 /month",Royal Nest,"1,550 sqft(144 sqm)",Semi-Furnished,Not Specified,"3 BHK Flat for rent in Techzone 4 Greater Noida West, Greater Noida",79
N/A,"₹35,000 /month",Paramount Golfforeste,"2,185 sqft(203 sqm)",N/A,Not Specified,"3 Bedroom House for rent in Sector ZETA, Greater Noida",79
N/A,"₹70,001 /month",Paramount Golfmart,"3,008 sqft(279 sqm)",N/A,Not Specified,"4 Bedroom House for rent in Sector ZETA 1, Greater Noida",79
N/A,"₹24,200 /month",Purvanchal Royal City,608 sqft(56 sqm),Fully Furnished,Not Specified,"Studio Apartments / 1 RK Flats for rent in Sector Chi 5, Greater Noida",79
2 BHK,"₹24,000 /month",Migsun Ultimo,695 sqft(65 sqm),Furnished,Not Specified,"2 BHK Flat for rent in Sector Omicron 3, Greater Noida",79
3 BHK,"₹25,000 /month",Migsun Ultimo,"1,360 sqft(126 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Sector Omicron 3, Greater Noida",79
N/A,"₹30,050 /month",Paramount Golfmart,"2,185 sqft(203 sqm)",N/A,Not Specified,"3 Bedroom House for rent in Sector ZETA 1, Greater Noida",79
N/A,"₹25,500 /month",Purvanchal Royal City,608 sqft(56 sqm),Fully Furnished,Not Specified,"Studio Apartments / 1 RK Flats for rent in Sector Chi 5, Greater Noida",79
3 BHK,"₹24,000 /month",Nirala Estate Phase 2,"1,250 sqft(116 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Techzone 4 Greater Noida West, Greater Noida",79
4 BHK,"₹35,000 /month",Nirala Estate,"2,320 sqft(216 sqm)",N/A,Not Specified,"4 BHK Flat for rent in Techzone 4 Greater Noida West, Greater Noida",79
3 BHK,"₹36,000 /month",SKA Divya Towers,"1,260 sqft(117 sqm)",Fully Furnished,Not Specified,"3 BHK Flat for rent in Sector 16, Greater Noida",79
4 BHK,"₹35,000 /month",Nirala Estate,"2,320 sqft(216 sqm)",N/A,Not Specified,"4 BHK Flat for rent in Techzone 4 Greater Noida West, Greater Noida",79
2 BHK,"₹19,000 /month",Amrapali Terrace Homes,885 sqft(82 sqm),N/A,Not Specified,"2 BHK Flat for rent in Techzone 4 Greater Noida West, Greater Noida",79
N/A,"₹31,000 /month",Paramount Golfforeste,"2,185 sqft(203 sqm)",N/A,Not Specified,"3 Bedroom House for rent in Sector ZETA, Greater Noida",79
N/A,"₹35,001 /month",Paramount Golfmart,"1,742 sqft(162 sqm)",N/A,Not Specified,"3 Bedroom House for rent in Sector ZETA 1, Greater Noida",79
N/A,"₹21,000 /month",Paramount Golfmart,435 sqft(40 sqm),Furnished,Not Specified,"Studio Apartments / 1 RK Flats for rent in Sector ZETA 1, Greater Noida",79
N/A,"₹16,049 /month",Paramount Golfmart,435 sqft(40 sqm),Furnished,Not Specified,"Studio Apartments / 1 RK Flats for rent in Sector ZETA 1, Greater Noida",79
N/A,"₹16,040 /month",Paramount Golfmart,435 sqft(40 sqm),Furnished,Not Specified,"Studio Apartments / 1 RK Flats for rent in Sector ZETA 1, Greater Noida",79
3 BHK,"₹21,000 /month",Coco County,"1,152 sqft(107 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Sector 10 Greater Noida West, Greater Noida",79
2 BHK,"₹22,000 /month",Nirala Aspire,"1,180 sqft(110 sqm)",N/A,Not Specified,"2 BHK Flat for rent in Sector 16, Greater Noida",79
N/A,"₹30,000 /month",Paramount Golfmart,"1,260 sqft(117 sqm)",Furnished,Not Specified,"2 Bedroom House for rent in Sector ZETA 1, Greater Noida",79
N/A,"₹65,000 /month",Godrej Golf Links Crest,900 sqft(84 sqm),N/A,Not Specified,"5 Bedroom House for rent in Sector 27, Greater Noida",79
2 BHK,"₹16,499 /month",Habitech Panchtatva,940 sqft(87 sqm),Semi-Furnished,Not Specified,"2 BHK Flat for rent in Techzone 4 Greater Noida West, Greater Noida",79
3 BHK,"₹20,000 /month",Gaur City 2 14th Avenue,"1,300 sqft(121 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Sector 16C, Greater Noida",79
2 BHK,"₹23,899 /month",ACE Divino,995 sqft(92 sqm),N/A,Not Specified,2 BHK Flat for rent in Sector 1 Greater Noida West,79
2 BHK,"₹32,002 /month",ACE Divino,"1,245 sqft(116 sqm)",Furnished,Not Specified,2 BHK Flat for rent in Sector 1 Greater Noida West,80
2 BHK,"₹23,995 /month",ACE Divino,"1,050 sqft(98 sqm)",N/A,Not Specified,2 BHK Flat for rent in Sector 1 Greater Noida West,80
3 BHK,"₹21,000 /month",Galaxy Royale,"1,345 sqft(125 sqm)",Semi-Furnished,Not Specified,"3 BHK Flat for rent in Sector 16C, Greater Noida",80
3 BHK,"₹23,200 /month",Amrapali Golf Homes,"1,595 sqft(148 sqm)",Semi-Furnished,Not Specified,"3 BHK Flat for rent in Sector 4, Greater Noida West",80
2 BHK,"₹17,200 /month",Amrapali Golf Homes,835 sqft(78 sqm),N/A,Not Specified,"2 BHK Flat for rent in Sector 4, Greater Noida West",80
2 BHK,"₹17,501 /month",Amrapali Golf Homes,945 sqft(88 sqm),N/A,Not Specified,"2 BHK Flat for rent in Sector 4, Greater Noida West",80
2 BHK,"₹18,002 /month",Amrapali Golf Homes,945 sqft(88 sqm),N/A,Not Specified,"2 BHK Flat for rent in Sector 4, Greater Noida West",80
3 BHK,"₹18,001 /month",Amrapali Golf Homes,"1,115 sqft(104 sqm)",Semi-Furnished,Not Specified,"3 BHK Flat for rent in Sector 4, Greater Noida West",80
2 BHK,"₹19,000 /month",Arihant Abode,"1,020 sqft(95 sqm)",N/A,Not Specified,"2 BHK Flat for rent in Sector 10 Greater Noida West, Greater Noida",80
3 BHK,"₹22,000 /month",Arihant Abode,"1,270 sqft(118 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Sector 10 Greater Noida West, Greater Noida",80
2 BHK,"₹18,500 /month",Amrapali Golf Homes,945 sqft(88 sqm),N/A,Not Specified,"2 BHK Flat for rent in Sector 4, Greater Noida West",80
3 BHK,"₹24,000 /month",Amrapali Golf Homes,"1,595 sqft(148 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Sector 4, Greater Noida West",80
N/A,"₹15,500 /month",Supertech Czar Suites,500 sqft(46 sqm),Furnished,Not Specified,"Studio Apartments / 1 RK Flats for rent in Sector Omicron 1, Greater Noida",80
3 BHK,"₹22,000 /month",Shri Radha Sky Gardens,"1,940 sqft(180 sqm)",Furnished,Not Specified,"3 BHK Flat for rent in Sector 16B, Greater Noida",80
1 BHK,"₹14,600 /month",Amrapali Dream Valley High Life 2,585 sqft(54 sqm),Semi-Furnished,Not Specified,1 BHK Flat for rent in Noida Extension,80
2 BHK,"₹16,000 /month",Himalaya Pride,948 sqft(88 sqm),N/A,Not Specified,"2 BHK Flat for rent in Techzone 4 Greater Noida West, Greater Noida",80
3 BHK,"₹20,000 /month",Paramount Emotions,"1,350 sqft(125 sqm)",Semi-Furnished,Not Specified,3 BHK Flat for rent in Sector 1 Greater Noida West,80
3 BHK,"₹20,000 /month",Supertech Eco Village 1,"1,906 sqft(177 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Greater Noida West, Greater Noida",80
3 BHK,"₹19,000 /month",Nirala Aspire,"1,460 sqft(136 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Sector 16, Greater Noida",80
N/A,"₹17,999 /month",Solitairian City Centre,850 sqft(79 sqm),Furnished,Not Specified,"Studio Apartments / 1 RK Flats for rent in Knowledge Park 3, Greater Noida",80
2 BHK,"₹16,500 /month",Supertech Oxford Square,"1,145 sqft(106 sqm)",Furnished,Not Specified,"2 BHK Flat for rent in Sector 16B, Greater Noida",80
3 BHK,"₹18,000 /month",Ajnara Le Garden,"1,295 sqft(120 sqm)",Furnished,Not Specified,"3 BHK Flat for rent in Sector 16B, Greater Noida",80
2 BHK,"₹22,000 /month",SKA Greenarch,"1,000 sqft(93 sqm)",N/A,Not Specified,"2 BHK Flat for rent in Sector 16B, Greater Noida",80
2 BHK,"₹27,000 /month",ACE Platinum,"1,050 sqft(98 sqm)",Furnished,Not Specified,"2 BHK Flat for rent in Sector ZETA 1, Greater Noida",80
2 BHK,"₹20,000 /month",Himalaya Pride,"1,125 sqft(105 sqm)",N/A,Not Specified,"2 BHK Flat for rent in Techzone 4 Greater Noida West, Greater Noida",80
3 BHK,"₹28,000 /month",ATS Dolce,"1,540 sqft(143 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Sector ZETA 1, Greater Noida",81
N/A,"₹22,500 /month",Golden i,610 sqft(57 sqm),Furnished,Not Specified,"Studio Apartments / 1 RK Flats for rent in Techzone 4 Greater Noida West, Greater Noida",81
2 BHK,"₹16,340 /month",Nirala Aspire,"1,065 sqft(99 sqm)",Semi-Furnished,Not Specified,"2 BHK Flat for rent in Sector 16, Greater Noida",81
3 BHK,"₹19,000 /month",Mahagun Mywoods Phase 1,"1,110 sqft(103 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Sector 16C, Greater Noida",81
2 BHK,"₹18,500 /month",Mahagun Mywoods Phase 3,"1,000 sqft(93 sqm)",N/A,Not Specified,"2 BHK Flat for rent in Sector 16C, Greater Noida",81
2 BHK,"₹18,000 /month",Mahagun Mywoods Phase 3,960 sqft(89 sqm),Semi-Furnished,Not Specified,"2 BHK Flat for rent in Sector 16C, Greater Noida",81
2 BHK,"₹18,500 /month",Mahagun Mywoods Phase 3,960 sqft(89 sqm),N/A,Not Specified,"2 BHK Flat for rent in Sector 16C, Greater Noida",81
2 BHK,"₹18,000 /month",Amrapali Terrace Homes,885 sqft(82 sqm),N/A,Not Specified,"2 BHK Flat for rent in Techzone 4 Greater Noida West, Greater Noida",81
3 BHK,"₹28,500 /month",Gaur City 7th Avenue,"1,350 sqft(125 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Sector 4, Greater Noida West",81
2 BHK,"₹24,000 /month",Gaur City 7th Avenue,"1,165 sqft(108 sqm)",N/A,Not Specified,"2 BHK Flat for rent in Sector 4, Greater Noida West",81
3 BHK,"₹26,000 /month",Gaur City 5th Avenue,"1,400 sqft(130 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Sector 4, Greater Noida West",81
2 BHK,"₹17,000 /month",Amrapali Golf Homes,835 sqft(78 sqm),N/A,Not Specified,"2 BHK Flat for rent in Sector 4, Greater Noida West",81
3 BHK,"₹24,000 /month",Gaur City 1st Avenue,"1,560 sqft(145 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Sector 4, Greater Noida West",81
3 BHK,"₹24,000 /month",Gaur City 5th Avenue,"1,400 sqft(130 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Sector 4, Greater Noida West",81
3 BHK,"₹25,000 /month",Gaur City 1st Avenue,"1,360 sqft(126 sqm)",Semi-Furnished,Not Specified,"3 BHK Flat for rent in Sector 4, Greater Noida West",81
3 BHK,"₹22,000 /month",Amrapali Centurian Park,"1,400 sqft(130 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Techzone 4 Greater Noida West, Greater Noida",81
3 BHK,"₹20,000 /month",Clover Spring Homes,"1,455 sqft(135 sqm)",N/A,Not Specified,3 BHK Flat for rent in Sector 1 Greater Noida West,81
2 BHK,"₹19,000 /month",Supertech Ecovillage 2,"1,106 sqft(103 sqm)",N/A,Not Specified,"2 BHK Flat for rent in Sector 16B, Greater Noida",81
3 BHK,"₹22,000 /month",Supertech Ecovillage 2,"1,267 sqft(118 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Sector 16B, Greater Noida",81
2 BHK,"₹22,000 /month",Nimbus Express Park View 2,"1,057 sqft(98 sqm)",Semi-Furnished,Not Specified,"2 BHK Flat for rent in Sector Chi 5, Greater Noida",81
3 BHK,₹1.1 Lac /month,Jaypee Greens The Sun Court,"3,768 sqft(350 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Jaypee Greens, Greater Noida",81
N/A,"₹27,500 /month",Kaveri City Centre,435 sqft(40 sqm),Furnished,Not Specified,"Studio Apartments / 1 RK Flats for rent in Delta 1, Greater Noida",81
2 BHK,"₹20,140 /month",Gaur City 7th Avenue,"1,165 sqft(108 sqm)",N/A,Not Specified,"2 BHK Flat for rent in Sector 4, Greater Noida West",81
3 BHK,"₹26,000 /month",Migsun Twinz,"1,225 sqft(114 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Eta 2, Greater Noida",81
3 BHK,"₹32,000 /month",Aastha Greens,"1,874 sqft(174 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Sector 4, Greater Noida West",81
3 BHK,"₹16,500 /month",Amrapali Golf Homes,"1,115 sqft(104 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Sector 4, Greater Noida West",82
3 BHK,"₹32,000 /month",Stellar Jeevan,"1,694 sqft(157 sqm)",N/A,Not Specified,3 BHK Flat for rent in Sector 1 Greater Noida West,82
2 BHK,"₹33,000 /month",Gaur City 7th Avenue,"1,165 sqft(108 sqm)",N/A,Not Specified,"2 BHK Flat for rent in Sector 4, Greater Noida West",82
4 BHK,"₹26,000 /month",Migsun Ultimo,"1,595 sqft(148 sqm)",Furnished,Not Specified,"4 BHK Flat for rent in Sector Omicron 3, Greater Noida",82
2 BHK,"₹18,000 /month",Migsun Ultimo,"1,005 sqft(93 sqm)",N/A,Not Specified,"2 BHK Flat for rent in Sector Omicron 3, Greater Noida",82
3 BHK,"₹23,000 /month",Supertech Ecovillage 2,"1,464 sqft(136 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Sector 16B, Greater Noida",82
2 BHK,"₹19,000 /month",Supertech Ecovillage 2,890 sqft(83 sqm),Semi-Furnished,Not Specified,"2 BHK Flat for rent in Sector 16B, Greater Noida",82
3 BHK,"₹20,000 /month",Gaur Yamuna City 16th Park View,"1,475 sqft(137 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Yamuna Expressway, Greater Noida",82
